"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","29","1","2","1.5","0.5","-"
"2",1,"Drake Maye",NE,"QB2","23","1","2","1.5","0.5","-"
"3",1,"Lamar Jackson",BAL,"QB3","29","3","4","3.5","0.5","-"
"4",2,"Ja'Marr Chase",CIN,"WR1","25","5","6","5.5","0.5","-"
"5",2,"Jayden Daniels",WAS,"QB4","25","4","8","6.0","2.0","-"
"6",2,"Jaxon Smith-Njigba",SEA,"WR2","23","7","10","8.5","1.5","-"
"7",2,"Justin Jefferson",MIN,"WR3","26","6","13","9.5","3.5","-"
"8",3,"Malik Nabers",NYG,"WR4","22","9","12","10.5","1.5","-"
"9",3,"Joe Burrow",CIN,"QB5","29","3","19","11.0","8.0","-"
"10",3,"Puka Nacua",LAR,"WR5","24","9","13","11.0","2.0","-"
"11",3,"Jahmyr Gibbs",DET,"RB1","23","10","12","11.0","1.0","-"
"12",3,"Bijan Robinson",ATL,"RB2","23","11","11","11.0","0.0","-"
"13",3,"Caleb Williams",CHI,"QB6","24","5","19","12.0","7.0","-"
"14",3,"Justin Herbert",LAC,"QB7","27","8","18","13.0","5.0","-"
"15",3,"Amon-Ra St. Brown",DET,"WR6","26","14","15","14.5","0.5","-"
"16",3,"CeeDee Lamb",DAL,"WR7","26","15","17","16.0","1.0","-"
"17",4,"Jalen Hurts",PHI,"QB8","27","7","26","16.5","9.5","-"
"18",4,"Drake London",ATL,"WR8","24","17","18","17.5","0.5","-"
"19",4,"De'Von Achane",MIA,"RB3","24","14","25","19.5","5.5","-"
"20",4,"Nico Collins",HOU,"WR9","26","16","27","21.5","5.5","-"
"21",4,"Patrick Mahomes II",KC,"QB9","30","20","24","22.0","2.0","-"
"22",4,"Jaxson Dart",NYG,"QB10","22","22","23","22.5","0.5","-"
"23",4,"Brock Bowers",LV,"TE1","23","16","31","23.5","7.5","-"
"24",4,"Tetairoa McMillan",CAR,"WR10","22","20","30","25.0","5.0","-"
"25",4,"Ashton Jeanty",LV,"RB4","22","21","29","25.0","4.0","-"
"26",4,"Brock Purdy",SF,"QB11","26","24","28","26.0","2.0","-"
"27",5,"Bo Nix",DEN,"QB12","25","23","31","27.0","4.0","-"
"28",5,"Rashee Rice",KC,"WR11","25","25","32","28.5","3.5","-"
"29",5,"Trevor Lawrence",JAC,"QB13","26","28","30","29.0","1.0","-"
"30",5,"Trey McBride",ARI,"TE2","26","21","40","30.5","9.5","-"
"31",5,"Dak Prescott",DAL,"QB14","32","27","34","30.5","3.5","-"
"32",5,"George Pickens",DAL,"WR12","24","26","41","33.5","7.5","-"
"33",5,"Jonathan Taylor",IND,"RB5","27","34","37","35.5","1.5","-"
"34",6,"Emeka Egbuka",TB,"WR13","23","33","45","39.0","6.0","-"
"35",6,"Omarion Hampton",LAC,"RB6","22","37","43","40.0","3.0","-"
"36",6,"Jordan Love",GB,"QB15","27","29","52","40.5","11.5","-"
